InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
492336,IT Support,131358,26271.6,157630,EUR,2017-04-26
579946,Waste management services,228118,45623.6,273742,RON,2017-08-13
770586,IT Support,2017-02-13,12586,2517.2,15103.2,CAD
214781,IT Support,2017-02-27,80371,16074.2,96445.2,CAD
494307,IT Support,2017-02-24,218864,43772.8,262637,USD
319467,Professional Services,181143,36228.6,217372,EUR,2017-06-11
406894,Various paper supplies,289647,57929.4,347576,RON,2017-06-16
839369,IT Support,2017-03-19,181316,36263.2,217579,RON
467069,Concierge Services,292170,58434,350604,EUR,2017-05-17
827763,Various paper supplies,222796,44559.2,267355,EUR,2017-10-26
394860,Professional Services,31043,6208.6,37251.6,RON,2017-10-13
