InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
952629,Concierge Services,2017-04-16,292469,58493.8,350963,EUR
577259,Professional Services,2017-04-05,8479,1695.8,10174.8,USD
648094,Beverages and Catering,2017-04-07,173521,34704.2,208225,USD
108286,Various paper supplies,287462,57492.4,344954,USD,2017-02-07
898565,IT Support,2017-01-06,93841,18768.2,112609,CAD
763017,IT Support,23744,4748.8,28492.8,CAD,2017-07-01
259986,Waste management services,2017-06-11,261897,52379.4,314276,RON
297438,Concierge Services,134360,26872,161232,RON,2017-03-27
664015,Concierge Services,2017-05-20,162430,32486,194916,USD
258314,Various paper supplies,295685,59137,354822,CAD,2017-09-26
