InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
499214,Waste management services,76072,15214.4,91286.4,EUR,2017-04-16
985463,Beverages and Catering,37561,7512.2,45073.2,RON,2017-01-10
492642,IT Support,234233,46846.6,281080,RON,2017-01-21
370133,Concierge Services,32425,6485,38910,EUR,2017-01-05
163712,Waste management services,112238,22447.6,134686,CAD,2017-07-07
511027,Professional Services,294665,58933,353598,RON,2017-07-06
123519,IT Support,238224,47644.8,285869,CAD,2017-06-01
121928,Professional Services,2017-03-01,233305,46661,279966,USD
955507,Professional Services,2017-05-03,2527,505.4,3032.4,RON
579439,Beverages and Catering,281725,56345,338070,CAD,2017-11-26
121409,IT Support,2017-10-19,282007,56401.4,338408,RON
499597,IT Support,2017-10-03,188219,37643.8,225863,RON
