InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
603772,Professional Services,215391,43078.2,258469,EUR,2017-04-21
257541,IT Support,216825,43365,260190,CAD,2017-04-20
653121,Professional Services,8097,1619.4,9716.4,EUR,2017-04-06
866235,Various paper supplies,66868,13373.6,80241.6,CAD,2017-04-16
479739,Waste management services,2017-02-04,79519,15903.8,95422.8,EUR
330434,Various paper supplies,2017-02-17,62105,12421,74526,USD
676169,Waste management services,2017-02-24,21220,4244,25464,USD
664697,Concierge Services,2017-02-25,213506,42701.2,256207,USD
824076,Professional Services,19459,3891.8,23350.8,USD,2017-01-02
591291,Beverages and Catering,2017-07-19,262784,52556.8,315341,USD
660770,Beverages and Catering,2017-06-18,200024,40004.8,240029,RON
222205,Professional Services,24029,4805.8,28834.8,USD,2017-05-06
775478,Beverages and Catering,2017-11-22,194179,38835.8,233015,USD
933740,Various paper supplies,215421,43084.2,258505,CAD,2017-10-28
433971,Various paper supplies,2017-09-17,91525,18305,109830,USD
438250,Various paper supplies,2017-09-14,22583,4516.6,27099.6,RON
