InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
363465,Beverages and Catering,2017-04-21,189094,37818.8,226913,USD
404064,IT Support,116811,23362.2,140173,CAD,2017-08-15
385001,IT Support,2017-02-09,190303,38060.6,228364,RON
480473,Concierge Services,2017-01-20,257341,51468.2,308809,EUR
511507,IT Support,2017-01-28,190439,38087.8,228527,EUR
404735,Various paper supplies,2017-06-20,161908,32381.6,194290,EUR
576306,Waste management services,28321,5664.2,33985.2,RON,2017-05-09
161088,IT Support,205478,41095.6,246574,RON,2017-05-17
836706,Professional Services,254405,50881,305286,USD,2017-11-11
779844,Professional Services,202951,40590.2,243541,USD,2017-10-24
